Renda;Total.Geral.de.Vagas;Quarto.s...dormitórios.;Área.considerada.para.avaliação..m2.;R..m2;Data.de.Refência.da.Avaliação;Valor.de.Avaliação..R..;Nº.de.Unidades.no.Andar.da.UP;Nº.de.pavimentos.do.Prédio..UP.;Padrão.das.Edificações.na.Região_Alto (por predominância);Padrão.das.Edificações.na.Região_Baixo;Padrão.das.Edificações.na.Região_Normal (c/ aspectos de alto);Padrão.das.Edificações.na.Região_Normal (c/ aspectos de baixo);Estado.de.Conservação.do.prédio..UP._Bom (aparência de novo);Estado.de.Conservação.do.prédio..UP._Regular (reparos importantes);Estado.de.Conservação.do.prédio..UP._Regular (reparos simples);Idade.Estimada.da.edificação.como.um.todo_<= 5;Idade.Estimada.da.edificação.como.um.todo_> 10 <= 20;Idade.Estimada.da.edificação.como.um.todo_> 20 <= 50;Idade.Estimada.da.edificação.como.um.todo_> 50 <= 100;Equipamentos.de.Segurança_SIM;Espaço.com.Churrasqueira_NÃO;Mini.Quadra.Esportiva_SIM;Piscina_NÃO;Portaria.e.ou.Guarita_NÃO;Salão.de.Festas_NÃO;Outros.Salões.de.Lazer_SIM;Sauna...Ofurô...Hidromassagem_SIM;Quadra.Poliesportiva_SIM;Pilotis_SIM;Acabamento.Fachada.Principal.da.Edificação_Cerâmica de Boa Qualidade;Acabamento.Fachada.Principal.da.Edificação_Granito ou Compatível;Acabamento.Fachada.Principal.da.Edificação_Pastilha;Acabamento.Fachada.Principal.da.Edificação_Porcelanato;Esquadrias.Fachada.Principal.da.Edificação_Ferro;Esquadrias.Fachada.Principal.da.Edificação_Madeira;Esquadrias.Fachada.Principal.da.Edificação_Vidro Temperado;Padrão.de.acabamento.da.Unidade_Alto (superior, luxo);Padrão.de.acabamento.da.Unidade_Normal (c/ aspectos de alto);Padrão.de.acabamento.da.Unidade_Normal (c/ aspectos de baixo);Estado.de.Conservação.da.Unidade_Bom (aparência de novo);Estado.de.Conservação.da.Unidade_Regular (reparos importantes);Estado.de.Conservação.da.Unidade_Regular (reparos simples)
2639;1;2;44,68;2641;19562;118000;4;4;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4214;1;2;70,78;5651,31;19563;4,00E+05;6;18;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
4564;1;2;44,3;2483,07;19563;110000;10;5;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
9316;2;3;131,83;7888,95;19560;1040000;6;21;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
3497;1;2;45,97;3263;19565;150000;4;4;0;0;0;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1814;1;2;54,62;2635,1;19568;144000;4;4;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
2564;1;2;48,78;3157,03;19549;154000;10;5;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
3823;1;2;68,76;7344,39;19561;505000;4;19;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
6253;1;3;66,27;7318,55;19564;485000;4;10;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4564;1;2;44,3;2821,67;19562;125000;10;5;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
2847;1;2;42,44;2827,52;19561;120000;4;4;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2013;1;2;44,23;4974;19565;220000;6;9;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7341;1;3;95;6810,53;19564;647000;4;10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5816;1;2;50,94;3337,26;19566;170000;8;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2436;1;2;43,86;2963,98;19549;130000;4;4;0;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3703;1;3;72,04;3109,38;19564;224000;4;4;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1341;1;2;59,27;4302,35;19564;255000;8;8;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1375;1;2;42,35;2408,5;19507;102000;5;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1375;1;2;42,35;2408,5;19507;102000;5;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1928;1;3;61,21;4084,3;19567;250000;6;11;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1;0;0;1
1419;1;2;43,52;3791,36;19562;165000;12;4;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5385;1;2;50,87;5543,54;19566;282000;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
5385;1;2;50,87;5543,54;19566;282000;8;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2062;1;3;63,2;5411,39;19568;342000;10;12;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3620;1;2;51,47;3205,75;19569;165000;4;4;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1814;1;2;54,63;2379,64;19569;130000;4;4;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
2467;1;2;54,31;2277,32;19569;124000;6;4;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1
1664;1;2;47,4;4175,92;19544;198000;10;12;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5480;1;2;54,31;4386,48;19569;238500;8;12;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
1261;1;2;43,64;3195,36;19567;139445,71;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1835;1;2;48,35;4860,39;19570;235000;10;12;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10979;1;2;75,09;7857,24;19569;590000;4;10;1;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
9287;1;2;87,3;5841,92;19571;510000;4;14;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
3096;1;3;92,61;3023,43;19545;280000;4;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1842;1;2;45,46;4399,47;19561;2,00E+05;10;5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
1842;1;2;85,94;3258,09;19572;280000;8;9;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
8626;1;3;75;7323,75;19566;549281;4;18;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
1835;1;3;62,59;5911,49;19562;370000;8;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1664;1;2;57,1;4028,02;19572;230000;2;4;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2260;1;2;44,62;2913,49;19573;130000;8;7;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2120;1;2;45,82;2837,19;19475;130000;6;4;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2840;1;2;57,09;6130,67;19566;350000;6;18;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
3784;1;3;75,96;4212,74;19508;320000;2;4;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3174;0;2;51,91;4141,78;19573;215000;2;4;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5167;0;1;68,89;2656,41;19573;183000;1;6;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4194;1;3;80;4375;19569;350000;4;4;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
4194;1;3;80;4262,5;19569;341000;4;4;0;0;0;0;0;0;1;0;0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
3784;1;3;75,96;4212,74;19508;320000;2;4;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10945;1;2;79,08;7650,48;19572;605000;3;7;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
8585;2;3;113,8;9455,18;19381;1076000;4;20;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2062;1;2;42,34;2999,53;19508;127000;5;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2781;0;1;38,69;2662,19;19566;103000;4;4;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
